"english","spanish"
"We hear children.","Escuchamos a niños."
"The leaf is green.","La hoja es verde."
"You see red dirt.","Ves tierra roja."
"The small child jumps.","El niño pequeño salta."
"My parents are here.","Mis padres están aquí."
"What is the year?","¿Cual es el año?"
"I have a good family.","Tengo una buena familia."
"There are two fruits.","Hay dos frutas."
"This leaf is small and green.","Esta hoja es verde y pequeña."
"My sibling is home again.","Mi hermano volvio a casa."
"The white rock moves.","La roca blanca se mueve."
"Are you calm today?","¿Estás tranquilo hoy?"
"Find the purple fruit!","¡Encuentra la fruta morada!"
"Who is your sibling?","¿Quién es tu hermano?"
"I am behind the tree.","Estoy detrás del árbol."
"The dirt is black.","La tierra es negra."
"Can you see us?","¿Puedes vernos?"
"They cannot hear you.","No pueden oírte."
"Jump three times.","Salta tres veces."
"Find it again.","Encuéntralo de nuevo."
"Her friend is climbing a tree.","Su amiga está trepando a un árbol."
"The red fruit is close to you.","La fruta roja está cerca tuyo."
"How do I find the biggest tree?","¿Cómo encuentro el árbol más grande?"
"It is time to dig for rocks.","Es hora de cavar en busca de rocas."
"What color is the star tonight?","¿De qué color es la estrella esta noche?"
"I do not know the time.","No sé la hora."
"Is your rock purple or white?","¿Tu piedra es morada o blanca?"
"Calling her parents is too hard.","Llamar a sus padres es demasiado difícil."
"Did you see the yellow star?","¿Viste la estrella amarilla?"
"Count one, two, three.","Cuenta uno, dos, tres."
"She will call me tomorrow.","Ella me llamará mañana."
"He was your first friend.","El fue tu primer amigo."
"I want to see, too.","Yo también quiero ver."
"I see a lot of dirt over there.","Veo mucha tierra allí."
"This is not a very ripe piece of fruit.","Esta fruta no esta muy madura."
"Why will she be wild today, do you think?","Porqué crees que estará salvaje hoy?"
"I am the middle child of my family.","Soy el hijo del medio en mi familia."
"She was very small last year.","El año pasado era muy pequeña."
"Do not move my small fruit!","¡No muevas mi fruta pequeña !"
"Will I find them behind a tree?","¿Los encontraré detrás de un árbol?"
"She said I should not climb there.","Ella dijo que no debería subir allí."
"I like that you always have a plan.","Me gusta que siempre tengas un plan."
"We are too far away to see the tree.","Estamos demasiado lejos para ver el árbol."
"It would be good to see my home again.","Sería bueno ver mi casa de nuevo."
"Get off that tree or I will call your parents!","¡Bájate de ese árbol o llamaré a tus padres!"
"He thought she could see him.","Él pensó que ella podía verlo."
"It is hard to have so much energy.","Es difícil tener tanta energía."
"I planned to call you yesterday.","Planeaba llamarte ayer."
"Don't dig over there because it's too far.","No caves allí porque está demasiado lejos."
"What time did he say he would call?","¿A qué hora dijo que llamaría?"
"Maybe they should go home now.","Quizás ellos deberían irse a casa ahora."
"They had not looked for a rock of that color.","No habían buscado una roca de ese color."
"He used to be our calmest friend.","Solía ser nuestro amigo más tranquilo."
"They wanted us to find a purple leaf.","Querían que encontráramos una hoja púrpura."
"When can you plan our next dig?","¿Cuándo puedes planificar nuestra próxima excavación?"
"Please move it to a better time.","Por favor, muévalo a un mejor momento."
"Is it too late to call your parents?","¿Es demasiado tarde para llamar a tus padres?"
"I didn't plan on doing that ever again!","¡No planeaba hacer eso nunca más!"
"I wish you could see this like I do.","Ojalá pudieras ver esto como yo lo veo."
"Will you only look for your family?","¿Solo buscarás a tu familia?"
"We have seen the star high in the sky.","Hemos visto la estrella arriba en el cielo."
"We are aboard a boat.","Estamos a bordo de un barco."
"She talked about the sun.","Ella habló acerca del sol."
"The sky is above the sea.","El cielo está sobre el mar."
"They will be across the water.","Estarán al otro lado del agua."
"He wanted to rest after the long night.","El quería descansar después de la larga noche."
"Are you with them or against them?","¿Estás con ellos o contra ellos?"
"We walked along the trail for an hour.","Caminamos por el sendero durante una hora."
"There might be animals among us.","Puede que haya animales entre nosotros."
