sentence,translation
We hear children.,वयं बालकान् शृणुमः।
The leaf is green.,पर्णं हरितम् अस्ति।
You see red dirt.,त्वं रक्तवर्णं पङ्कं पश्यसि।
The small child jumps.,लघुः बालकः कूर्दते।
My parents are here.,मम मातापितरौ अत्र स्तः।
What is the year?,एषः कः वर्षः?
I have a good family.,मम परवारः उत्तमः अस्ति।
There are two fruits.,तत्र फलद्वयम् अस्ति।
This leaf is small and green.,एतत् पत्रं लघु हरितं च अस्ति।
My sibling is home again.,मम सहोदरः पुनः गृहम् आगतः।
The white rock moves.,शुभ्रः पाषाणः चलति।
Are you calm today?,किम् अद्य भवान् शान्तः अस्ति?
Find the purple fruit!,धूमलवर्णं फलं गवेषयतु।
Who is your sibling?,भवतः सहोदरः कः?
I am behind the tree.,अहं वृक्षस्य पार्श्वे अस्मि।
The dirt is black.,पङ्कः कृष्णवर्णः अस्ति।
Can you see us?,किं भवान् अस्मान् द्रष्टुं शक्नोति?
They cannot hear you.,ते भवन्तं श्रोतुं न शक्नुवन्ति।
Jump three times.,त्रिवारं कूर्दनं करोतु।
Find it again.,एतत् पुनः गवेषयतु।
Her friend is climbing a tree.,तस्याः मित्रं वृक्षम् आरोहति।
The red fruit is close to you.,भवतः समीपं रक्तवर्णं फलम् अस्ति।
How do I find the biggest tree?,अहं बृहत्तमं वृक्षं कथं प्राप्नुयाम्?
It is time to dig for rocks.,एषः पाषाणखननस्य समयः अस्ति।
What color is the star tonight?,अद्य रात्रौ तारिकाया कः वर्णः अस्ति?
I do not know the time.,अहं समयं न जानामि।
Is your rock purple or white?,भवतः पाषाणः धूमलवर्णः वा शुभ्रः वा?
Calling her parents is too hard.,तस्याः मातापित्रोः आह्वानं कठिनम् अस्ति।
Did you see the yellow star?,किं भवान् पीतवर्णां तारिकां दृष्टवान्?
"Count one, two, three.","गणयतु एकं, द्वे, त्रीणि।"
She will call me tomorrow.,सा श्वः मम आह्वानं करिष्यति।
He was your first friend.,सः भवतः प्रथमं मित्रम् आसीत्।
"I want to see, too.",अहम् अपि द्रष्टुम् इच्छामि।
I see a lot of dirt over there.,अहं तत्र बहविधम् अवकरं पश्यामि।
This is not a very ripe piece of fruit.,एषः फलस्य पर्याप्तः पक्वः भागः नास्ति।
"Why will she be wild today, do you think?","सा अद्य किमर्थं हिंस्ना भवेत्, किं चिन्तयति भवान्?"
I am the middle child of my family.,अहं मम परिवारे मध्यमम् अपत्यम् अस्मि।
She was very small last year.,गतवर्षे सा अतीव लघ्वी आसीत्।
