sentence,hanzi,pinyin
We hear children.,我们听到了孩子们。,wǒ mén tīng dào le hái zǐ mén 。
The leaf is green.,这片叶子是绿色的。,zhè piàn yè zǐ shì lǜ sè de 。
You see red dirt.,你看到红色的泥土。,nǐ kàn dào hóng sè de ní tǔ 。
The small child jumps.,这个小孩跳了起来。,zhè gè xiǎo hái tiào le qǐ lái 。
My parents are here.,我的父母在这里。,wǒ de fù mǔ zài zhè lǐ 。
What is the year?,今年是哪一年？,jīn nián shì nǎ yī nián ？
I have a good family.,我有一个很好的家庭。,wǒ yǒu yī gè hěn hǎo de jiā tíng 。
There are two fruits.,那里有两种水果。,nà lǐ yǒu liǎng zhǒng shuǐ guǒ 。
This leaf is small and green.,这片叶子又小又绿。,zhè piàn yè zǐ yòu xiǎo yòu lǜ 。
My sibling is home again.,我的兄弟姐妹又回家了。,wǒ de xiōng dì jiě mèi yòu huí jiā le 。
The white rock moves.,这个白色的石头移动了。,zhè gè bái sè de shí tóu yí dòng le 。
Are you calm today?,你今天冷静吗?,nǐ jīn tiān lěng jìng ma ?
Find the purple fruit!,找到紫色的水果!,zhǎo dào zǐ sè de shuǐ guǒ !
Who is your sibling?,谁是你的兄弟姐妹?,shuí shì nǐ de xiōng dì jiě mèi ?
I am behind the tree.,我在树后面。,wǒ zài shù hòu miàn 。
The dirt is black.,泥土是黑色的。,ní tǔ shì hēi sè de 。
Can you see us?,你能看见我们吗?,nǐ néng kàn jiàn wǒ mén ma ?
They cannot hear you.,他们听不见你说话。,tā mén tīng bù jiàn nǐ shuō huà 。
Jump three times.,跳三次。,tiào sān cì 。
Find it again.,再找找它。,zài zhǎo zhǎo tā 。
Her friend is climbing a tree.,她的朋友正在爬树。,tā de péng yǒu zhèng zài pá shù 。
The red fruit is close to you.,红色的水果离你很近。,hóng sè de shuǐ guǒ lí nǐ hěn jìn 。
How do I find the biggest tree?,我怎样才能找到最大的树?,wǒ zěn yàng cái néng zhǎo dào zuì dà de shù ?
It is time to dig for rocks.,是时候挖石头了。,shì shí hòu wā shí tóu le 。
What color is the star tonight?,今晚的星星是什么颜色的?,jīn wǎn de xīng xīng shì shén me yán sè de ?
I do not know the time.,我不知道时间。,wǒ bù zhī dào shí jiān 。
Is your rock purple or white?,你的石头是紫色的还是白色的?,nǐ de shí tóu shì zǐ sè de hái shì bái sè de ?
Calling her parents is too hard.,给她父母打电话太难了。,gěi tā fù mǔ dǎ diàn huà tài nán le 。
Did you see the yellow star?,你看到那颗黄色的星星了吗?,nǐ kàn dào nà kē huáng sè de xīng xīng le ma ?
"Count one, two, three.",数一，二，三。,shǔ yī ， èr ， sān 。
She will call me tomorrow.,她明天会给我打电话。,tā míng tiān huì gěi wǒ dǎ diàn huà 。
He was your first friend.,他是你第一个朋友。,tā shì nǐ dì yī gè péng yǒu 。
"I want to see, too.",我也想看看。,wǒ yě xiǎng kàn kàn 。
I see a lot of dirt over there.,我看到那边有很多泥土。,wǒ kàn dào nà biān yǒu hěn duō ní tǔ 。
This is not a very ripe piece of fruit.,这不是一块很熟的水果。,zhè bù shì yī kuài hěn shú de shuǐ guǒ 。
"Why will she be wild today, do you think?",你觉得她今天为什么会发狂?,nǐ jiào dé tā jīn tiān wéi shén me huì fā kuáng ?
I am the middle child of my family.,我在家里排行中间。,wǒ zài jiā lǐ pái háng zhōng jiān 。
She was very small last year.,去年她非常小。,qù nián tā fēi cháng xiǎo 。
Do not move my small fruit!,不要动我的小水果!,bù yào dòng wǒ de xiǎo shuǐ guǒ !
Will I find them behind a tree?,我会在树后找到他们吗?,wǒ huì zài shù hòu zhǎo dào tā mén ma ?
She said I should not climb there.,她说我不应该爬那儿。,tā shuō wǒ bù yìng gāi pá nà ér 。
I like that you always have a plan.,我喜欢你总是有计划。,wǒ xǐ huān nǐ zǒng shì yǒu jì huá 。
We are too far away to see the tree.,我们太远了，看不见那棵树。,wǒ mén tài yuǎn le ， kàn bù jiàn nà kē shù 。
It would be good to see my home again.,能再次看到我的家真是太好了。,néng zài cì kàn dào wǒ de jiā zhēn shì tài hǎo le 。
Get off that tree or I will call your parents!,从树上下来，不然我叫你父母了!,cóng shù shàng xià lái ， bù rán wǒ jiào nǐ fù mǔ le !
He thought she could see him.,他以为她能看见他。,tā yǐ wéi tā néng kàn jiàn tā 。
It is hard to have so much energy.,有这么多精力是很难的。,yǒu zhè me duō jīng lì shì hěn nán de 。
I planned to call you yesterday.,我原打算昨天给你打电话的。,wǒ yuán dǎ suàn zuó tiān gěi nǐ dǎ diàn huà de 。
Don't dig over there because it's too far.,别在那边挖了，太远了。,bié zài nà biān wā le ， tài yuǎn le 。
What time did he say he would call?,他说他什么时候打电话来?,tā shuō tā shén me shí hòu dǎ diàn huà lái ?
Maybe they should go home now.,也许他们现在该回家了。,yě xǔ tā mén xiàn zài gāi huí jiā le 。
They had not looked for a rock of that color.,他们从来没有找过这种颜色的石头。,tā mén cóng lái méi yǒu zhǎo guò zhè zhǒng yán sè de shí tóu 。
He used to be our calmest friend.,他曾经是我们最冷静的朋友。,tā céng jīng shì wǒ mén zuì lěng jìng de péng yǒu 。
