は,wa,"Indicantes the topic of a sentence"
か,ka,"At the end of a sentence indicating a question"
が,ga,"Indicates the subject of a sentence"
に,ni,"Indicates a location"
の,no,"Indicates possession"
は,wa,"Indicates a contrast between 2 items"
に,ni,"Indicates time or frequency"
へ,e,"Indicates direction"
を,wo/o,"Indicates the direct object of a verb"
と,to,"Used to connect and list up multiple items"
や,ya,"Used to connect and partially list up multiple items"
など,nado,"Used with や (ya) to partially list up multiple items"
も,mo,"means “too”, “either”, “also”"
も,mo,"both…and…, neither…nor…"
に,ni,"Indicates the indirect object of a verb"
に,ni,"Indicates the surface of a object where some action takes place"
で,de,"Indicates the location of an action"
と,to,"Together with"
の,no,"Indicates an apposition"
から,kara,"Indicates a starting point in time or place"
より,yori,"Indicates a starting point in time or place but more formal than kara (20)"
まで,made,"Indicates a limit on time, space or quantity"
くらい,kurai,"Indicates an approximate amount"
ほど,hodo,"Indicates an approximate amount"
25	ばかり(bakari)	Indicates an approximate amount
で,de,"Indicates a means or material"
か,ka,"Indicates a choice or alternative"
を,wo/o,"Indicates a point of departure"
を,wo/o,"Indicates a route of a movement/motion"
に,ni,"Indicates a point of arrival"
に,ni,"Indicates an entering motion"
に,ni,"Used together with a verb to express a purpose"
と,to,"Used when quoting someone"
34	と いう (to iu)	Indicates the name of something
とか,toka,"“something like”"
で,de,"Indicates a limit or scope"
と,to,"Indicates a comparison"
より,yori,"Indicates a comparison"
より,yori,"Indicates superlative"
くらい,kurai,"Indicates a comparison"
ほど,hodo,"Indicates a comparison in a negative sentence"
か,ka,"someone, something"
も,mo,"“nothing”, nobody”, nowhere” if used with an interrogative word"
に,ni,"Used with a verb to indicate a change or choice"
45	をする (wo/o suru)	Expresses an occupation or position
でも,demo,"Indicates emphasis"
でも,demo,"Together with an interrogative word it means “anything”, “anyone”, any time”"
で,de,"Indicates a cause or a reason"
から,kara,"Indicates a source such as a giver, a cause or material"
に,ni,"Indicates a person who gives something or who provides a service"
は,wa,"+ が (ga)	Indicates the relation between an object / subjects and a verb or adjective"
が,ga,"Connects two sentences with the meaning “but…”"
を,wo/o,"Used with an verb expressing emotions, it indicates the cause of this emotion"
で,de,"Indicates a state / condition of something"
で,de,"Limits numbers"
だけ,dake,"Indicates a limit on things or amounts"
だけ,dake,"Indicates a limit on an action or state"
で,de,"Indicates the time of completion or expiration of something"
でも,demo,"Following a noun, means “or something like this”"
も,mo,"Emphasizes in a positive or negative way"
でも,demo,"Indicates two or more items as an example of a larger list"
ばかり,bakari,"Indicates that an item, state or action is a single one"
ばかり,bakari,"Indicates an action was just completed"
ところ,tokoro,"Indicates that an action takes place, just took place or is about to take place"
が,ga,"Indicates the subject of subordinate clause when it is different from the subject of the main clause"
から,kara,"conjunction meaning “after” or “since”"
ながら,nagara,"Indicates that an action is happening simultaneously"
が,ga,"Indicates the subject of a relative clause"
の,no,"Indicates the subject of a relative clause"
から,kara,"Used as a conjunction and indicates a cause or reason"
ので,node,"Indicates a strong reason"
の,no,"Indicates a modified pronoun"
の,no,"Used to nominalize verbs & sentences"
なら,nara,"Used as a conjunction and indicates a supposition or condition"
なら,nara,"Indicates a topics and is used as an alternative to wa (No.1)"
と,to,"Indicates a condition that results in an inevitable outcome"
ば,ba,"Used as a conjunction to express a probable results"
ばいい,ba,"“all you have to do…”"
ば,ba,"Used to enumerate two or more actions or states"
たら,tara,"Used as a conjunction, indicates a supposition or condition"
たら,tara,"Used as a conjunction to indicate that one action takes place before the action described in the main sentence"
ところ,tokoro,"Used as a conjunction to indicate a condition that brings about a discovery"
